"activityId","hasActivityType","hasLocation","hasTemporalExtent"
"A_CONS_BR","A_CONS","BR",2011
"A_TDMO_BR","A_TDMO","BR",2011
"A_TDFU_BR","A_TDFU","BR",2011
"A_TDWH_BR","A_TDWH","BR",2011
"A_TDRT_BR","A_TDRT","BR",2011
"A_HORE_BR","A_HORE","BR",2011
"A_TRAI_BR","A_TRAI","BR",2011
"A_TLND_BR","A_TLND","BR",2011
"A_TPIP_BR","A_TPIP","BR",2011
"A_TWAS_BR","A_TWAS","BR",2011
"A_TWAI_BR","A_TWAI","BR",2011
"A_TAIR_BR","A_TAIR","BR",2011
"A_TAUX_BR","A_TAUX","BR",2011
"A_PTEL_BR","A_PTEL","BR",2011
"A_FINT_BR","A_FINT","BR",2011
"A_FINS_BR","A_FINS","BR",2011
"A_FAUX_BR","A_FAUX","BR",2011
"A_REAL_BR","A_REAL","BR",2011
"A_MARE_BR","A_MARE","BR",2011
"A_COMP_BR","A_COMP","BR",2011
"A_RESD_BR","A_RESD","BR",2011
"A_OBUS_BR","A_OBUS","BR",2011
"A_PADF_BR","A_PADF","BR",2011
"A_EDUC_BR","A_EDUC","BR",2011
"A_HEAL_BR","A_HEAL","BR",2011
"A_BIOS_BR","A_BIOS","BR",2011
"A_COMF_BR","A_COMF","BR",2011
"A_COMW_BR","A_COMW","BR",2011
"A_WASF_BR","A_WASF","BR",2011
"A_WASO_BR","A_WASO","BR",2011
"A_LANF_BR","A_LANF","BR",2011
"A_LANP_BR","A_LANP","BR",2011
"A_LANL_BR","A_LANL","BR",2011
"A_LANI_BR","A_LANI","BR",2011
"A_LANT_BR","A_LANT","BR",2011
"A_LANW_BR","A_LANW","BR",2011
"A_ORGA_BR","A_ORGA","BR",2011
"A_PARI_BG","A_PARI","BG",2011
"A_WHEA_BG","A_WHEA","BG",2011
"A_OCER_BG","A_OCER","BG",2011
"A_FVEG_BG","A_FVEG","BG",2011
"A_OILS_BG","A_OILS","BG",2011
"A_SUGB_BG","A_SUGB","BG",2011
"A_FIBR_BG","A_FIBR","BG",2011
"A_OTCR_BG","A_OTCR","BG",2011
"A_CATL_BG","A_CATL","BG",2011
"A_PIGS_BG","A_PIGS","BG",2011
"A_PLTR_BG","A_PLTR","BG",2011
"A_OMEA_BG","A_OMEA","BG",2011
"A_OANP_BG","A_OANP","BG",2011
"A_MILK_BG","A_MILK","BG",2011
"A_FORE_BG","A_FORE","BG",2011
"A_FISH_BG","A_FISH","BG",2011
"A_COAL_BG","A_COAL","BG",2011
"A_COIL_BG","A_COIL","BG",2011
"A_GASE_BG","A_GASE","BG",2011
"A_COPO_BG","A_COPO","BG",2011
"A_PREO_BG","A_PREO","BG",2011
"A_LZTO_BG","A_LZTO","BG",2011
"A_ONFO_BG","A_ONFO","BG",2011
"A_STON_BG","A_STON","BG",2011
"A_SDCL_BG","A_SDCL","BG",2011
"A_CHMF_BG","A_CHMF","BG",2011
"A_PCAT_BG","A_PCAT","BG",2011
"A_PPIG_BG","A_PPIG","BG",2011
"A_PPLT_BG","A_PPLT","BG",2011
"A_POME_BG","A_POME","BG",2011
"A_VOIL_BG","A_VOIL","BG",2011
"A_DAIR_BG","A_DAIR","BG",2011
"A_RICE_BG","A_RICE","BG",2011
"A_SUGR_BG","A_SUGR","BG",2011
